,open,close,high,low,volume,money
2017-08-30,160.59,160.69,160.7,160.59,7773200.0,75472108.0
2017-08-31,160.71,160.71,160.74,160.71,8656700.0,85177399.0
2017-09-01,160.73,160.76,160.79,160.7,9445400.0,92208818.0
2017-09-04,160.8,160.77,160.81,160.75,7387000.0,73152014.0
2017-09-05,160.79,160.72,160.79,160.7,11018900.0,107772117.0
2017-09-06,160.75,160.53,160.75,160.53,11308500.0,111559497.0
2017-09-07,160.55,160.59,160.59,160.53,16844200.0,166913752.0
2017-09-08,160.61,160.57,160.62,160.54,26865900.0,267893446.0
2017-09-11,160.62,160.6,160.63,160.57,12621200.0,125116371.0
2017-09-12,160.61,160.58,160.61,160.55,9798300.0,95966820.0
2017-09-13,160.59,160.58,160.64,160.57,7158000.0,69771981.0
2017-09-14,160.59,160.59,160.62,160.58,29626100.0,293322869.0
2017-09-15,160.6,160.6,160.61,160.6,10612400.0,105108426.0
2017-09-18,160.65,160.62,160.66,160.61,17599700.0,175185976.0
2017-09-19,160.64,160.62,160.68,160.61,13023500.0,129415287.0
2017-09-20,160.64,160.63,160.64,160.62,20026400.0,196841312.0
2017-09-21,160.64,160.62,160.65,160.61,10263200.0,100959163.0
2017-09-22,160.63,160.58,160.64,160.57,18629700.0,183167639.0
2017-09-25,160.63,160.62,160.64,160.51,20718700.0,200626785.0
2017-09-26,160.64,160.62,160.65,160.6,9697900.0,94197037.0
2017-09-27,160.64,160.63,160.64,160.61,14269300.0,139665075.0
2017-09-28,160.64,160.66,160.66,160.64,13815500.0,134539083.0
2017-09-29,160.68,160.69,160.69,160.65,26325100.0,259060763.0
2017-10-09,160.85,160.79,160.85,160.79,6424600.0,62767997.0
2017-10-10,160.81,160.79,160.81,160.77,31976500.0,315931116.0
2017-10-11,160.8,160.81,160.81,160.8,15329100.0,151212218.0
2017-10-12,160.82,160.85,160.85,160.81,10946200.0,107297470.0
2017-10-13,160.86,160.87,160.89,160.84,11232400.0,108664770.0
2017-10-16,160.92,160.95,160.96,160.88,15282400.0,147944497.0
2017-10-17,160.97,160.97,160.98,160.95,11848800.0,115182096.0
2017-10-18,160.99,160.9,161.0,160.9,17792300.0,176549498.0
2017-10-19,160.91,160.92,160.92,160.89,13908900.0,135083270.0
2017-10-20,160.93,160.91,160.94,160.9,8503500.0,81775976.0
2017-10-23,160.95,160.94,160.97,160.94,9194700.0,89360860.0
2017-10-24,160.95,161.03,161.06,160.85,34722000.0,347228846.0
2017-10-25,161.04,161.05,161.05,160.91,10232400.0,99934877.0
2017-10-26,161.06,160.92,161.06,160.9,28951400.0,287258879.0
2017-10-27,160.94,160.87,160.94,160.86,17613500.0,173516153.0
2017-10-30,160.91,160.8,160.93,160.8,25904700.0,255680298.0
2017-10-31,160.81,160.81,160.9,160.81,11769500.0,113974180.0
2017-11-01,160.83,160.84,160.85,160.82,18498800.0,177732623.0
2017-11-02,160.85,160.83,160.86,160.82,17753200.0,171691338.0
2017-11-03,160.84,160.85,160.89,160.84,15140200.0,146655427.0
2017-11-06,160.89,160.9,160.9,160.85,10202500.0,97386515.0
2017-11-07,160.91,160.85,160.92,160.85,19633900.0,190876298.0
